flag		comment
$UI_DEFENDER_BOOST_NEED	強化：需要 <PSI> 能量	
$UI_DEFENDER_BOOST_UNLOCK	強化到 <LVL> 級後解鎖	
$UI_DEFENDER_CLICK_TO	(點擊以打開/關閉)	
$UI_DEFENDER_RECALL	召回	
$UI_DEFENDER_RECALL_LINE	召回：+<PSI> 能量	
$UI_DEFENDER_TECHNIQUE	技能	
$UI_DEFENDER_TECHNIQUES	技能	
$UI_DEFENDER_TRAIT	特質	
$UI_DEFENDER_TRAITS	特質	
$UI_DEFQ_MODS	Mod	
$UI_DEMO_IMPORT_OPTIONS	是否從試玩版本導入選項設置？	
$UI_DEMO_IMPORT_SAVES	是否從試玩版本導入存檔？	
$UI_DEMO_OPTIONS_DETECTED	檢測到試玩版本選項設置！	
$UI_DEMO_SAVES_DETECTED	檢測到試玩版本存檔！	
$UI_DOWNLOAD_BODY	點擊按鈕，下載<N>遊戲的桌上出版。<N><N>它會在新的視窗/標籤下載。<N>實際可能會有延遲，請等<N>上一分鐘，不要去把弄按鈕	
$UI_DOWNLOAD_LINUX	Linux	
$UI_DOWNLOAD_MACINTOSH	Macintosh	
$UI_DOWNLOAD_SOUNDTRACK	遊戲原聲	
$UI_DOWNLOAD_WARNING	禁用<N>快顯視窗遮罩！	
$UI_DOWNLOAD_WINDOWS	Windows	
$UI_DQ_SAVE_FILES	DQ<X> 保存檔	
$UI_EQUIP_ALL_A_HEAVY	已裝備所有的重型護甲！	
$UI_EQUIP_ALL_A_HEAVY_EQUIPPED	已裝備所有的重型護甲！	
$UI_EQUIP_ALL_A_LIGHT	已裝備所有的輕型護甲！	
$UI_EQUIP_ALL_A_LIGHT_EQUIPPED	已裝備所有的輕型護甲！	
$UI_EQUIP_ALL_ACC_BOOK	已裝備所有書！	
$UI_EQUIP_ALL_W_BOW	已裝備所有弓箭！	
$UI_EQUIP_ALL_W_BOW_EQUIPPED	已裝備所有弓箭！	
$UI_EQUIP_ALL_W_STAFF	已裝備所有法杖！	
$UI_EQUIP_ALL_W_STAFF_EQUIPPED	已裝備所有法杖！	
$UI_EQUIP_ALL_W_SWORD	已裝備所有劍！	
$UI_EQUIP_ALL_W_SWORD_EQUIPPED	已裝備所有劍！	
$UI_EQUIP_CANT_SELL_UNIQUE	無法出售特殊道具！	
$UI_EQUIP_CANT_UPGRADE_A_HEAVY	你沒有可以提升的重型護甲！	
$UI_EQUIP_CANT_UPGRADE_A_LIGHT	你沒有可以提升的輕型護甲！	
$UI_EQUIP_CANT_UPGRADE_W_BOW	你沒有可以提升的弓箭！	
$UI_EQUIP_CANT_UPGRADE_W_STAFF	你沒有可以提升的法杖！	
$UI_EQUIP_CANT_UPGRADE_W_SWORD	你沒有可以提升的劍！	
$UI_EQUIP_CLASS_CANT_A	該職業無法裝備護甲！	
$UI_EQUIP_CLASS_CANT_W	該職業無法裝備武器！	
$UI_EQUIP_COMPARE	比較	
$UI_EQUIP_EQUIP_AFTER	購買後裝備	
$UI_EQUIP_EQUIP_WHO	給誰裝備？	
$UI_EQUIP_EQUIPPED	已裝備	
$UI_EQUIP_MAX_OWNED	已達到最大擁有數	
$UI_EQUIP_NAME	名稱	
$UI_EQUIP_NO_A_HEAVY	未擁有任何重型護甲！	
$UI_EQUIP_NO_A_HEAVY	未擁有任何重型護甲！	
$UI_EQUIP_NO_A_LIGHT	未擁有任何輕型護甲！	
$UI_EQUIP_NO_A_LIGHT	未擁有任何輕型護甲！	
$UI_EQUIP_NO_ACC_BOOK	未擁有任何書！	
$UI_EQUIP_NO_W_BOW	未擁有任何弓箭！	
$UI_EQUIP_NO_W_BOW	未擁有任何弓箭！	
$UI_EQUIP_NO_W_STAFF	未擁有任何法杖！	
$UI_EQUIP_NO_W_STAFF	未擁有任何法杖！	
$UI_EQUIP_NO_W_SWORD	未擁有任何劍！	
$UI_EQUIP_NO_W_SWORD	未擁有任何劍！	
$UI_EQUIP_OWNED	擁有	
$UI_EQUIP_OWNER	擁有者	
$UI_EQUIP_PRICE	價格	
$UI_EQUIP_SELL_OLD_ARMOR_FOR	以<SELL_PRICE>廢鐵的價格售出護甲？	
$UI_EQUIP_SELL_OLD_WEAPON_FOR	以<SELL_PRICE>廢鐵的價格售出武器？	
$UI_EQUIP_SHOW_EQUIPPED	顯示裝備	
$UI_EQUIP_SHOW_EQUIPPED	顯示裝備	
$UI_EQUIP_STAT	狀態	
$UI_EQUIP_WHO_WILL	給誰裝備：	
$UI_EULA_TITLE	使用者授權合約	
$UI_GAMEPLAY_ALWAYS	一直	
$UI_GAMEPLAY_AUTO_UPDATE	自動更新	
$UI_GAMEPLAY_BATTLE_NUMBERS	戰鬥數字	
$UI_GAMEPLAY_CLOUD_SAVE	雲存檔	
$UI_GAMEPLAY_DEFAULT	只限新戰鬥	
$UI_GAMEPLAY_DIALOGUE	對話	
$UI_GAMEPLAY_DISABLE_UPDATER	禁用自動更新	
$UI_GAMEPLAY_ENABLE_UPDATER	遊戲開始時檢測更新	
$UI_GAMEPLAY_HIDE	隱藏	
$UI_GAMEPLAY_MISCELLANEOUS	其他	
$UI_GAMEPLAY_NEVER	從不	
$UI_GAMEPLAY_OFF	關閉	
$UI_GAMEPLAY_ON	打開	
$UI_GAMEPLAY_SHOW	顯示	
$UI_GAMEPLAY_SLOW_FOOTNOTE	也許會降低遊戲運行速度	
$UI_GAMEPLAY_TRACK_NO	不要追蹤我，朋友！	
$UI_GAMEPLAY_TRACK_YES	讓我們追蹤匿名遊戲狀態	
$UI_GAMEPLAY_TRACKING	追蹤檔	
$UI_GAMEPLAY_TUTORIALS	教程	
$UI_GRAPHICS_HD	高清	
$UI_GRAPHICS_ORIGINAL	原始	
$UI_HIGH	高	
$UI_HIGH()	高（<X>）	
$UI_LEGACY_IMPORT_SAVES	是否從舊版本的《守護者冒險》中導入存檔？	
$UI_LEGACY_SAVES_DETECTED	檢測到舊存檔！	
$UI_LOGGING_ALWAYS	總是	
$UI_LOGGING_ASK	每次都詢問	
$UI_LOGGING_CRASH	記錄崩潰日誌	
$UI_LOGGING_CRASH_CONTENT	包含崩潰日誌：	
$UI_LOGGING_CRASH_OPTIONS	遊戲設置	
$UI_LOGGING_CRASH_REPLAY	使用者輸入記錄	
$UI_LOGGING_CRASH_SAVES	存檔文件	
$UI_LOGGING_CRASH_SCREENSHOT	截屏	
$UI_LOGGING_CRASH_SYSTEM	系統參數	
$UI_LOGGING_NEVER	從不	
$UI_LOGGING_SEND	發送崩潰日誌給開發人員	
$UI_LOGGING_TITLE	記錄日誌	
$UI_LOW	低	
$UI_LOW()	低（<X>）	
$UI_MISC_NUMS	font:18,off_y:1,off_x:-2	
$UI_MISC_TITLE	其他	
$UI_MOD_ALL_FILES	所有檔（*.*）	
$UI_MOD_AUTHOR	作者	
$UI_MOD_BKGS	+42M 原畫資源	
$UI_MOD_BROWSE_QUEUE	我的Mods	
$UI_MOD_BROWSE_WORKSHOP	Steam創意工坊	
$UI_MOD_CREATE_NEW	創建新的Mod	
$UI_MOD_DATA_ONLY	只有檔（1M）	
$UI_MOD_DEFQ_SAVE	《守護者冒險》存檔文件（*.dfq）	
$UI_MOD_DOWNLOAD	下載Mod中	
$UI_MOD_DOWNLOAD_TEXT		
$UI_MOD_EDIT	編輯	
$UI_MOD_EXISTS	Mod已存在<N>是否載入？	
$UI_MOD_EXPORT_CANCEL	匯出已取消！	
$UI_MOD_EXPORT_CANCEL_TEXT	文件位於：	
$UI_MOD_EXPORT_CHURN	任務<TASK_PROGRESS><N><N><TASK><N><PROGRESS>	
$UI_MOD_EXPORT_FAIL	匯出失敗！	
$UI_MOD_EXPORT_FAIL_TEXT	發生錯誤！	
$UI_MOD_EXPORT_FINISH	匯出完成！	
$UI_MOD_EXPORT_FINISH_TEXT	你的Mod位於：	
$UI_MOD_EXPORTING	匯出數據	
$UI_MOD_INSTALL_ERROR	已存在相同的Mod名字。<N>是否加上尾碼安裝？	
$UI_MOD_INSTALL_ERROR2	非常抱歉，無法安裝此Mod。	
$UI_MOD_INSTALL_STANDALONE	從ZIP中安裝	
$UI_MOD_LATER	稍後	
$UI_MOD_LOAD_EXISTING	載入存在的Mod	
$UI_MOD_LOAD_FAIL	載入失敗！	
$UI_MOD_LOAD_FAIL_TEXT	載入Mod失敗：	
$UI_MOD_LOAD_FINISH	載入完成	
$UI_MOD_LOAD_FINISH_TEXT	Mod載入成功。<N>遊戲將立即重啟。	
$UI_MOD_LOAD_MOD	載入Mod	
$UI_MOD_LOAD_MOD_TEXT	是否載入<LQ><MOD><RQ>？<N>這將使遊戲重啟。	
$UI_MOD_LOADING	正在載入Mod……	
$UI_MOD_MISSING	無法找到settings.xml。<N>Mod不存在或Mod已損壞。	
$UI_MOD_MISSING_SUBSCRIBE	訂閱文件	
$UI_MOD_MISSING_SUBSCRIBE_TEXT	是否下載：<N><NUM> 個已訂閱的創意工坊的文件嗎？	
$UI_MOD_MOD_INCOMPAT_TEXT	<N>檔來自不同的mod，<N>它可能不相容。<N><N>是否仍然嘗試導入？	
$UI_MOD_MOVIES	+42M 影片資源	
$UI_MOD_NAME	輸入此Mod的名稱	
$UI_MOD_NORM_INCOMPAT_TEXT	<N>已經啟動mod，但是<N>該檔來自普通遊戲，<N>它可能不相容。<N><N>是否仍然嘗試導入？	
$UI_MOD_NOT_DIR	哇！<N>這不是一個目錄！<N>再試一次。	
$UI_MOD_PATH	Mod檔路徑……	
$UI_MOD_PLAY	開始遊戲	
$UI_MOD_PLEASE_WAIT	請稍等片刻<N>正在載入Mod	
$UI_MOD_PROGRESS	任務<TASK><N>檔<FILE><N>	
$UI_MOD_SELECT_DIR	選擇Mod目標	
$UI_MOD_SHARE	分享	
$UI_MOD_SHARE_TEXT_LOCAL	這將使你的mod打包成一個檔，以方便分佈。	
$UI_MOD_SHARE_TEXT_STEAM	打包你的Mod並且發佈到Steam創意工坊。	
$UI_MOD_SHARE_TITLE	分享Mod	
$UI_MOD_SHARED	已分享	
$UI_MOD_SPRITES	+4M 介面資源	
$UI_MOD_STEAM_SEND	正在發送至Steam……	
$UI_MOD_STEAM_UPLOAD	正在上傳至Steam……	
$UI_MOD_STEAM_WAIT	正在等待Steam的回復……<N>(或需要等一會)	
$UI_MOD_SUBSCRIBED	已訂閱	
$UI_MOD_TEMPLATE_SETTINGS	Mod模組設定	
$UI_MOD_TITLE	修改	
$UI_MOD_TITLE	修改	
$UI_MOD_UPDATE	更新	
$UI_MOD_UPDATE_STEAM_FINISH	更新完成	
$UI_MOD_UPDATE_STEAM_FINISH_TEXT	Mod已經在Steam創意工坊上<N>成功更新	
$UI_MOD_UPDATE_TEXT_STEAM	Mod已經在Steam創意工坊上更新。	
$UI_MOD_WEB_BROWSER	流覽器	
$UI_MOD_WORKSHOP	創意工坊	
$UI_MOD_ZIP_FAIL	打包失敗！	
$UI_MOD_ZIP_FAIL_TEXT	壓縮檔時發生了錯誤。	
$UI_MOD_ZIP_FILES	壓縮檔（*.*）	
$UI_MOD_ZIP_FINISH	打包完成。	
$UI_MOD_ZIP_FINISH_TEXT	Mod已成功壓縮。	
$UI_MOD_ZIP_PROGRESS	任務<TASK><N>檔<FILE><N>	
$UI_MOD_ZIP_STEAM_FAIL	上傳失敗！	
$UI_MOD_ZIP_STEAM_FAIL_TEXT	無法將Mod上傳至<N>Steam創意工坊	
$UI_MOD_ZIP_STEAM_FINISH	上傳成功	
$UI_MOD_ZIP_STEAM_FINISH_TEXT	Mod已成功上傳至<N>Steam創意工坊	
$UI_MOD_ZIPPING	正在打包Mod文件	
$UI_MOVIE_END	結束	
$UI_MOVIE_QUEST	任務	
$UI_MOVIE_SCENE	場景	
$UI_MOVIE_SELECT_A_MOVIE	選擇一段影片	
$UI_MUSIC	音樂：	
$UI_NORM_MOD_INCOMPAT_TEXT	<N>文件來自Mod，<N>它可能不相容。<N><N>是否仍然嘗試導入？	
$UI_OPTIONS_MENU	選項功能表	
$UI_OPTIONS_NUMS	font:18,off_y:1,off_x:-2	
$UI_OPTIONS_SPEED	遊戲速度	
$UI_OPTIONS_TITLE	選項	
$UI_QUIT_NUMS	font:18,off_y:1,off_x:-2	
$UI_RECRUIT_BERSERKER_NUMS	font:14,x_off:0,y_off:0	
$UI_RECRUIT_CLASS_FULL	職業已滿	
$UI_RECRUIT_DRAGON_NUMS	font:14,x_off:0,y_off:0	
$UI_RECRUIT_HEALER_NUMS	font:14,x_off:0,y_off:0	
$UI_RECRUIT_KNIGHT_NUMS	font:14,x_off:0,y_off:0	
$UI_RECRUIT_MAGE_NUMS	font:14,x_off:0,y_off:0	
$UI_RECRUIT_RANGER_NUMS	font:14,x_off:0,y_off:0	
$UI_RESOLUTION_CHOICES	可用：	
$UI_RESOLUTION_CURRENT	當前：	
$UI_RESOLUTION_CURRENT_PARENTHESES	（當前）	
$UI_RESOLUTION_TITLE	螢幕解析度	
$UI_RESTART_NUMS	font:18,off_y:1,off_x:-2	
$UI_SAVE_CONFIRM_DELETE	是否確認刪除？	
$UI_SAVE_CONFIRM_DELETE_TEXT	是否永久刪除該<N>存檔位？	
$UI_SAVE_DEMO_ATTENTION	注意！	
$UI_SAVE_DEMO_IMPORT	試玩版本導入	
$UI_SAVE_DEMO_IMPORT_TEXT	檔來自試玩版本，可能會進行一些調整。<N>是否接受？	
$UI_SAVE_DEMO_NEWER	檔來自新版本的遊戲，<N>它可能不相容。<N><N>是否仍然嘗試導入？	
$UI_SAVE_DEMO_OLDER	檔來自舊版本的遊戲，<N>它可能不相容。<N><N>是否仍然嘗試導入？	
$UI_SAVE_ERROR_INCOMPAT	無法相容！	
$UI_SAVE_ERROR_INCOMPAT_TEXT	錯誤！你正在玩試玩版本<N>這個檔來自完整版本	
$UI_SAVE_MENU_CHECK_GOG	到GOG上獲取免費更新！	
$UI_SAVE_MENU_DOWNLOAD	獲得可下載版本	
$UI_SAVE_MENU_FULL_VERSION	完整版本	
$UI_SAVE_MENU_KONG_DEMO	<RE>$MISC_DEMO_VERSION	
$UI_SAVE_MENU_KONG_DEMO_LOGIN_FULL	試玩版本 - 登陸kongregate進入完整遊戲！	
$UI_SAVE_MENU_KONG_DEMO_LOGIN_XDEMO	試玩版本 - 登陸kongregate進入擴展內容！	
$UI_SAVE_MENU_KONG_XDEMO	擴展試玩版本	
$UI_SAVE_MENU_KONG_XDEMO_LOGIN	擴展試玩版本 - 登陸kongregate進入完整遊戲！	
$UI_SAVE_MENU_LOADED	載入完成！	
$UI_SAVE_PATH	保存檔路徑……	
$UI_SAVE_SELECT_DIR	選擇保持目錄	
$UI_SELECT_A_FILE_TEXT	請選擇一個保存檔導入	
$UI_SELECT_A_FILE_TITLE	請選擇一個檔！	
$UI_SFX	特別效果：	
$UI_SKILLS_CLICK_TO_UPGRADE	點擊更新。	
$UI_SKILLS_MAX	最大	
$UI_SKILLS_MOUSE_OVER	移動滑鼠到上面檢查。	
$UI_SKILLS_NO_LEARN_SPELL	你還沒學習這個法術。	
$UI_SKILLS_NO_POINTS	沒有點數。	
$UI_SKILLS_REQ_1PT	需要：人物等級達到<LVL>，<N>在<SKILL>上投入<PT>點	
$UI_SKILLS_REQ_XPT	需要：人物等級達到<LVL>，<N>在<SKILL>上投入<PT>點	
$UI_TIPS_TITLE	提示和技巧	
$UI_UPDATER_ASK_DOWNLOAD	是否下載更新？	
$UI_UPDATER_CANCEL	<RE>$MISC_CANCEL	
$UI_UPDATER_CHECKING	正在檢測更新……	
$UI_UPDATER_CHECKSUM	正在計算校驗和……	
$UI_UPDATER_CHECKSUM_MISMATCH	檔的校驗和不符合預期。 原因可能是因為下載版本不完整（可能），或者是安全問題（不太可能），或者是宇宙射線（誰知道呢！），不管怎樣，更新失敗。	
$UI_UPDATER_CLOSE_WINDOW	你必須在安裝更新之前關閉此視窗。	
$UI_UPDATER_CONNECT_AGAIN	正在再次連接	
$UI_UPDATER_CONNECTING	正在連接到伺服器……	
$UI_UPDATER_CURRENT_VERSION	當前版本：<T>	
$UI_UPDATER_DEB	DEB包	
$UI_UPDATER_DETAILS	詳情：	
$UI_UPDATER_DOWNLOADED	更新下載完畢！	
$UI_UPDATER_DOWNLOADING_FILE	正在下載更新檔……	
$UI_UPDATER_DOWNLOADING_SIG	正在下載更新簽名……	
$UI_UPDATER_ERROR!	錯誤！	
$UI_UPDATER_EXITING	正在關閉應用……	
$UI_UPDATER_FILE_IS_AT	你的更新檔位於：	
$UI_UPDATER_GIVE_UP	放棄	
$UI_UPDATER_IF_NO_WINDOW	如果導航檔沒有打開，請手動前往打開。	
$UI_UPDATER_INSTALLING	正在安裝更新……	
$UI_UPDATER_NAVIGATE_NOW	導航到文件嗎？	
$UI_UPDATER_NAVIGATING	正在導航到文件……	
$UI_UPDATER_NEWEST_VERSION	最新版本：<T>	
$UI_UPDATER_NO_BIG_DEAL	沒什麼大問題，你仍然可以玩遊戲，你只是現在不能連接到更新伺服器。	
$UI_UPDATER_NO_DOWNLOAD	無法下載更新檔。	
$UI_UPDATER_NO_INFO	無法在伺服器上找到更新資訊。	
$UI_UPDATER_NO_UPDATES	沒有可用更新。	
$UI_UPDATER_NO_VERIFY	無法驗證更新檔。	
$UI_UPDATER_NOTE	注意：	
$UI_UPDATER_PLEASE_WAIT	<RE>$MISC_PLEASE_WAIT	
$UI_UPDATER_RPM	RPM包	
$UI_UPDATER_SECURED_WITH	此更新機制通過HTTPS，<N>以及公開金鑰指紋驗證保護。	
$UI_UPDATER_SECURITY	出於安全考慮，您必須手動運行下載的安裝程式。<N><N>此程式將定位到您檔的下載位置。	
$UI_UPDATER_SERVER_TIMEOUT	伺服器超時！	
$UI_UPDATER_TARGZ	TAR.GZ文檔	
$UI_UPDATER_TRY_AGAIN	再試一次	
$UI_UPDATER_TRYING_30	嘗試30秒	
$UI_UPDATER_UPDATE_EXISTS	有可用的更新版本！	
$UI_VIDEO_AOE	高亮範圍攻擊	
$UI_VIDEO_BIT_DEPTH	深度	
$UI_VIDEO_CAN_SLOW_GAME	（可以將遊戲減速）	
$UI_VIDEO_CHANGE_RES	更改解析度	
$UI_VIDEO_CHANGE_RES_BUTTON	更改！	
$UI_VIDEO_CHANGE_RES_TO	更改解析度至<X>	
$UI_VIDEO_CUTSCENES	過場動畫	
$UI_VIDEO_FULLSCREEN	全屏	
$UI_VIDEO_GRAPHICS	顯卡	
$UI_VIDEO_HD	寬屏（16:9）	
$UI_VIDEO_IF_DOESNT_WORK	如果新解析度不起作用，<N>則它將在幾秒鐘後恢復。	
$UI_VIDEO_MATCH_MONITOR	匹配全屏	
$UI_VIDEO_MODE	模式	
$UI_VIDEO_MOUSE	滑鼠指標	
$UI_VIDEO_MOUSE_DEFAULT	默認	
$UI_VIDEO_MOUSE_FANCY	花俏的	
$UI_VIDEO_NUMS	font:18,off_y:1,off_x:-2	
$UI_VIDEO_PARTICLES	粒子	
$UI_VIDEO_PIXELS	圖元	
$UI_VIDEO_RECOMMENDED	推薦：	
$UI_VIDEO_REFRESH	刷新	
$UI_VIDEO_RES_CHANGED	解析度已更改。<N>您是否滿意？<N><N>在 <TIME> 秒後還原	
$UI_VIDEO_RESOLUTION	全屏顯示器解析度	
$UI_VIDEO_SCALE	比例	
$UI_VIDEO_SCREEN_POS	螢幕位置	
$UI_VIDEO_SCREEN_SIZE	遊戲窗口的大小	
$UI_VIDEO_SD	標準（4:3）	
$UI_VIDEO_SELECT_NEW	選擇新的……	
$UI_VIDEO_SETTINGS	視頻設置	
$UI_VIDEO_SHOW_ALL_RES	顯示所有解析度	
$UI_VIDEO_SPRITES	介面	
$UI_VIDEO_STANDARD_RATIO	（標準比例）	
$UI_VIDEO_SWIRL	戰前動畫	
$UI_VIDEO_TITLE	視頻	
$UI_VIDEO_WARNING	在流覽器模式中禁用視頻選項。	
$UI_VIDEO_WARNING2	很不幸，您的系統組態不支持遊戲中的解析度轉換:(	
$UI_VIDEO_WARNING3	非常抱歉！<N><N>在相容模式下，解析度切換被禁用。	
$UI_VIDEO_WIDESCREEN	（寬屏）	
$UI_VIDEO_WINDOWED	窗口化	
$WEAK_DMG_MULT	+<PERCENT>% <FLAVOR>的額外傷害	
$YOU_GOT	你獲得了	
$YOU_GOT_JOIN	<CLASS> <NAME> <N>加入了隊伍！	
$YOU_GOT_MONEY	你獲得了 <MONEY> 廢品！	
$YOU_GOT_NEW_GAME_PLUS_TEXT	恭喜你！現在你可以用你原有的隊伍開始一場新的挑戰！<N><N>面對那些擁有新能力的變異敵人，為你的圖書館囤積更多的新書。完成更多新的支線任務，觀看額外的過場動畫和劇情故事故事，解鎖開發者的傳記，翻譯Eztli Tenoch的演講，遇到新的人物角色，等等一系列嶄新的體驗！<N><N><RE>[$NEW_GAME_PLUS_NOTE]<N><N>你也可以隨時隨地回到你<LQ>常規<RQ>遊戲。	
$YOU_GOT_NEW_GAME_PLUS_TITLE	解鎖新遊戲+	
$YOU_GOT_NO_EQUIP	無法裝備這個道具。	
$YOU_GOT_NO_EQUIP_YET	你的隊伍中還沒有人能裝備 <THING>。別擔心，繼續遊戲，馬上就會出現可以裝備的新角色。	
$YOU_GOT_X	<THING>x <NUM>！	
$GAMEPAD_TEMP_SPACER	,,,,,,	
$GAMEPAD_BUTTON_SPACER		
$ACTIONS_MENUCONTROLS	菜單	
$ACTIONS_MENUCONTROLSWITHANALOG	菜單	
$ACTIONS_CUTSCENECONTROLS	過場動畫	
$ACTIONS_BATTLECONTROLS	戰鬥	
$ACTIONS_MAPCONTROLS	世界地圖	
$ACTIONS_MENU_MENU	菜單	
$ACTIONS_MENU_SELECT	選擇	
$ACTIONS_MENU_CANCEL	取消	
$ACTIONS_MENU_THING_1	選項1	
$ACTIONS_MENU_THING_2	選項2	
$ACTIONS_MENU_MOVE	移動滑鼠	
$GAMEPAD_A	A鍵	
$GAMEPAD_B	B鍵	
$GAMEPAD_X	X鍵	
$GAMEPAD_Y	Y鍵	
$GAMEPAD_BACK	返回鍵	
$GAMEPAD_START	開始鍵	
$GAMEPAD_LEFT_SHOULDER	LB鍵	
$GAMEPAD_RIGHT_SHOULDER	RB鍵	
$GAMEPAD_LEFT_TRIGGER	LT鍵	
$GAMEPAD_RIGHT_TRIGGER	RT鍵	
$GAMEPAD_DPAD	RT鍵	
$GAMEPAD_DPAD_UP	方向鍵上	
$GAMEPAD_DPAD_DOWN	方向鍵下	
$GAMEPAD_DPAD_LEFT	方向鍵左	
$GAMEPAD_DPAD_RIGHT	方向鍵右	
$GAMEPAD_LEFT_ANALOG_STICK	左搖杆	
$GAMEPAD_LEFT_ANALOG_STICK_X_MINUS	左搖杆-左	
$GAMEPAD_LEFT_ANALOG_STICK_X_PLUS	左搖杆-右	
$GAMEPAD_LEFT_ANALOG_STICK_Y_MINUS	左搖杆-上	
$GAMEPAD_LEFT_ANALOG_STICK_Y_PLUS	左搖杆-下	
$GAMEPAD_RIGHT_ANALOG_STICK	右搖杆	
$GAMEPAD_RIGHT_ANALOG_STICK_X_MINUS	右搖杆-左	
$GAMEPAD_RIGHT_ANALOG_STICK_X_PLUS	右搖杆-右	
$GAMEPAD_RIGHT_ANALOG_STICK_Y_MINUS	右搖杆-上	
$GAMEPAD_RIGHT_ANALOG_STICK_Y_PLUS	右搖杆-下	
$GAMEPAD_LEFT_STICK_CLICK	左搖杆-按下	
$GAMEPAD_RIGHT_STICK_CLICK	右搖杆-按下	
$GAMEPAD_EMPTY	無	
$XBOX360_A	<RE>$GAMEPAD_A	
$XBOX360_B	<RE>$GAMEPAD_B	
$XBOX360_X	<RE>$GAMEPAD_X	
$XBOX360_Y	<RE>$GAMEPAD_Y	
$XBOX360_BACK	<RE>$GAMEPAD_BACK	
$XBOX360_START	<RE>$GAMEPAD_START	
$XBOX360_LEFT_SHOULDER	<RE>$GAMEPAD_LEFT_SHOULDER	
$XBOX360_RIGHT_SHOULDER	<RE>$GAMEPAD_RIGHT_SHOULDER	
$XBOX360_LEFT_TRIGGER	<RE>$GAMEPAD_LEFT_TRIGGER	
$XBOX360_RIGHT_TRIGGER	<RE>$GAMEPAD_RIGHT_TRIGGER	
$XBOX360_DPAD	<RE>$GAMEPAD_DPAD	
$XBOX360_DPAD_UP	<RE>$GAMEPAD_DPAD_UP	
$XBOX360_DPAD_DOWN	<RE>$GAMEPAD_DPAD_DOWN	
$XBOX360_DPAD_LEFT	<RE>$GAMEPAD_DPAD_LEFT	
$XBOX360_DPAD_RIGHT	<RE>$GAMEPAD_DPAD_RIGHT	
$XBOX360_LEFT_ANALOG_STICK	<RE>$GAMEPAD_LEFT_ANALOG_STICK	
$XBOX360_LEFT_ANALOG_STICK_X_MINUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_X_MINUS	
$XBOX360_LEFT_ANALOG_STICK_X_PLUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_X_PLUS	
$XBOX360_LEFT_ANALOG_STICK_Y_MINUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_Y_MINUS	
$XBOX360_LEFT_ANALOG_STICK_Y_PLUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_Y_PLUS	
$XBOX360_RIGHT_ANALOG_STICK	<RE>$GAMEPAD_RIGHT_ANALOG_STICK	
$XBOX360_RIGHT_ANALOG_STICK_X_MINUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_X_MINUS	
$XBOX360_RIGHT_ANALOG_STICK_X_PLUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_X_PLUS	
$XBOX360_RIGHT_ANALOG_STICK_Y_MINUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_Y_MINUS	
$XBOX360_RIGHT_ANALOG_STICK_Y_PLUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_Y_PLUS	
$XBOX360_LEFT_STICK_CLICK	<RE>$GAMEPAD_LEFT_STICK_CLICK	
$XBOX360_RIGHT_STICK_CLICK	<RE>$GAMEPAD_RIGHT_STICK_CLICK	
$XBOX360_EMPTY	<RE>$GAMEPAD_EMPTY	
$XBOXONE_A	<RE>$GAMEPAD_A	
$XBOXONE_B	<RE>$GAMEPAD_B	
$XBOXONE_X	<RE>$GAMEPAD_X	
$XBOXONE_Y	<RE>$GAMEPAD_Y	
$XBOXONE_BACK	顯示鍵	
$XBOXONE_START	菜單鍵	
$XBOXONE_LEFT_SHOULDER	<RE>$GAMEPAD_LEFT_SHOULDER	
$XBOXONE_RIGHT_SHOULDER	<RE>$GAMEPAD_RIGHT_SHOULDER	
$XBOXONE_LEFT_TRIGGER	<RE>$GAMEPAD_LEFT_TRIGGER	
$XBOXONE_RIGHT_TRIGGER	<RE>$GAMEPAD_RIGHT_TRIGGER	
$XBOXONE_DPAD	<RE>$GAMEPAD_DPAD	
$XBOXONE_DPAD_UP	<RE>$GAMEPAD_DPAD_UP	
$XBOXONE_DPAD_DOWN	<RE>$GAMEPAD_DPAD_DOWN	
$XBOXONE_DPAD_LEFT	<RE>$GAMEPAD_DPAD_LEFT	
$XBOXONE_DPAD_RIGHT	<RE>$GAMEPAD_DPAD_RIGHT	
$XBOXONE_LEFT_ANALOG_STICK	<RE>$GAMEPAD_LEFT_ANALOG_STICK	
$XBOXONE_LEFT_ANALOG_STICK_X_MINUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_X_MINUS	
$XBOXONE_LEFT_ANALOG_STICK_X_PLUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_X_PLUS	
$XBOXONE_LEFT_ANALOG_STICK_Y_MINUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_Y_MINUS	
$XBOXONE_LEFT_ANALOG_STICK_Y_PLUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_Y_PLUS	
$XBOXONE_RIGHT_ANALOG_STICK	<RE>$GAMEPAD_RIGHT_ANALOG_STICK	
