flag	content	comment
$ACTIONS_BATTLE_BACK	<RE>$BATTLE_BACK
$TARGET_BOTH_TITLE	Обычный приоритет
$TARGET_BULLDOG_TEXT	Персонаж никогда не меняет цель, пока враг не оставляет радиус досягаемости или не умирает.<N><N>Для исключительных случаев. Рекомендуется только для опытных игроков!
$TARGET_BULLDOG_TITLE	Режим упорства
$TARGET_CHANCE_TEXT	Цель - враг с наименьшей вероятностью увернуться или отбить атаку.
$TARGET_CHANCE_TITLE	Максимальная вероятность поражения
$TARGET_CHEAP_TEXT	Персонаж сохраняет мощные техники для целей, которых нельзя убить слабыми техниками.
$TARGET_CHEAP_TITLE	Экономная техника
$TARGET_EFFECT_TEXT	Персонаж использует атаки со статусными эффектами против самых крепких врагов.
$TARGET_EFFECT_TITLE	Эффективная техника
$TARGET_FAST_TEXT	Цель - враг, движущийся быстрее всех.
$TARGET_FAST_TITLE	Быстрая цель
$TARGET_FIGHT_TEXT	Персонаж атакует каждый раз, когда это возможно, даже если техника лечения готова.
$TARGET_FIGHT_TITLE	Приоритет на сражение
$TARGET_FIRST_TEXT	Цель - самая первая из возможных.
$TARGET_FIRST_TITLE	Первая цель
$TARGET_HEAL_TEXT	Персонаж лечит каждый раз, когда это возможно, даже если атакующая техника готова.
$TARGET_HEAL_TITLE	Приоритет на исцеление
$TARGET_LAST_TEXT	Цель - самая последняя из возможных.
$TARGET_LAST_TITLE	Последняя цель
$TARGET_SAVE_TEXT	Делает текущие настройки цели базовыми для этого персонажа.
$TARGET_SAVE_TITLE	Сохранить настройки
$TARGET_SPECIFIC_TEXT	Персонаж атакует только указанный тип врагов, игнорируя всех остальных.
$TARGET_SPECIFIC_TITLE	Специфичная цель
$TARGET_STRONG_TEXT	Цель - враг с наибольшей жизнью и броней.
$TARGET_STRONG_TITLE	Сильная цель
$TARGET_WEAK_TEXT	Цель - враг с наименьшей жизнью и броней.
$TARGET_WEAK_TITLE	Слабая цель
$TIP_00_TEXT	<N><N>Иногда полезно вернуться назад и пройти ранние битвы на повышенном уровне сложности, чтобы заработать золота и купить снаряжение получше. Также можете попробовать сыграть на упрощенном уровне сложности 'Легко'.
$TIP_00_TITLE	Застрял?
$TIP_10_TEXT	Вы можете управлять игрой с клавиатуры!<N><N>- Выбор заклинания<N>- Выбор вызываемого персонажа<N>- Повышение / вызов защитника<N>- Пауза / продолжение игры<N>- Переключение между защитниками<N>- Смена цели / настройки скорости<N>- Навигация по кнопкам интерфейса<N>- Перемещение курсора / выбор<N><N>(Назначьте клавиши в настройках)
$TIP_10_TITLE	Горячие клавиши
$TIP_100_TEXT	Отзыв защитников позволит вам вернуть часть Пси, вложенных в них.<N><N>Количество возвращаемых Пси снижается, если защитник имеет травму.
$TIP_100_TITLE	Отзыв
$TIP_110_TEXT	Если у вас есть физические недостатки, то обратите внимание на следующее:<N><N>1) Видео - играйте в полноэкранном<N>режиме с масштабированием картинки<N>2) Управление - переназначьте<N>элементы управления<N>3) Ограничения - переключите<N>эффекты, скорость воспроизведения и множитель опыта
$TIP_110_TITLE	Ограничения
$TIP_120_TEXT	Эта подсказка добавлена потому, что никто не пытается анализировать код или расшифровывать загадки.
$TIP_120_TITLE	Социальная реклама
$TIP_130_TEXT	Выбрав защитника, вы можете указать, какого врага им атаковать: первого, последнего, сильных, слабых или быстрых. Используйте это для оптимизации ваших атак. Например, выбор 'сильных' врагов позволит вам сконцентрироваться на более крупных единицах, выделив их из толпы.
$TIP_130_TITLE	Выбор цели
$TIP_140_TEXT	В дополнение к основным параметрам выбора цели, есть четыре дополнительных настройки:<N><N>1) Экономная техника <N>2) Эффективная техника<N>3) Максимальная вероятность поражения <N>4) Режим упорства<N><N>Их не обязательно использовать, но они могут помочь продвинутым игрокам извлечь максимум пользы из стратегии боя. Вы даже можете сохранить настройки выбора цели для данного персонажа!
$TIP_140_TITLE	Продвинутый выбор цели
$TIP_150_TEXT	Огонь и лед не могут работать вместе. Холод и заморозка отменят огонь, и наоборот.
$TIP_150_TITLE	Огонь и лед
$TIP_160_TEXT	Сложный' и 'экстрим' уровни сложности, как правило, будут вам не по зубам, если попытаться сыграть в них сразу же.<N><N>Попробуйте вернуться к ним после того, как вы пройдете следующие несколько битв на нормальной сложности.
$TIP_160_TITLE	Повышенная сложность
$TIP_170_TEXT	После покупки нового снаряжения для ваших героев, старое снаряжение может еще послужить другим членам вашей группы.
$TIP_170_TITLE	Снаряжение
$TIP_180_TEXT	Расстановка защитников близко друг к другу заставляет врагов рассредотачивать свои атаки, что облегчает выживание каждого из защитников.<N><N>Недостатком этой стратегии является то, что вы контролируете меньшую площадь.
$TIP_180_TITLE	Сила в цифрах
$TIP_190_TEXT	Если вы хотите настроить темп развития игры, то вы можете изменить глобальный множитель опыта в меню параметров.<N><N>Значение по умолчанию составляет 100%.<N><N>Вы также можете изменить множитель для бабосов.
$TIP_190_TITLE	Множитель награды
$TIP_20_TEXT	Каждый защитник получает 1 очко навыков при повышении уровня.<N><N>Распределяйте эти очки в меню группы, чтобы открыть новые способности в бою.<N><N>1) ТЕХНИКИ (круг) - атаки применяемые в бою<N>2) КАЧЕСТВА (квадрат) - пассивные способности.<N><N>Каждая техника соответствует определенному уровню повышения в бою.
$TIP_20_TITLE	Навыки
$TIP_200_TEXT	Иногда, одна из техник может мешать вашей тактике (возможно, от огня вашего дракона размораживаются враги), или вы просто хотите сохранить мощную атаку на потом. Тогда, вы можете нажать на защитника и затем щелкнуть на технику в нижнем правом углу, чтобы временно отключить ее.
$TIP_200_TITLE	Отключение техник
$TIP_210_TEXT	В меню сохранений, есть кнопка с изображением папки и гаечного ключа.<N><N>Она приведет вас туда, где хранятся ваши сохраненные игры и файл конфигурации.
$TIP_210_TITLE	Где мои сохранения?
$TIP_220_TEXT	После завершения обычной игры, вы можете начать новое приключение со своей старой группой, с более сложными боями и невероятными наградами!<N><N><RE>[$NEW_GAME_PLUS_NOTE]
$TIP_220_TITLE	Новая игра+
$TIP_230_TEXT	В режиме НОВАЯ ИГРА+ вы сможете заработать специальные артефакты, которые можно использовать для улучшения уникальной экипировки из обычной игры. Эти улучшенные предметы имеют особые способности!
$TIP_230_TITLE	Улучшенные вещи
$TIP_240_TEXT	После того, как вы заработаете достаточно звезд, разблокируются бонусные сражения. За прохождение этих специальных миссий, вы получите дополнительные награды.
$TIP_240_TITLE	Бонусные миссии
$TIP_250_TEXT	При использовании заклинания Молния 'сгорает Пси'. Это значит, что доля Пси, получаемая в награду, уменьшается пропорционально здоровью противника. Например, если заклинание нанесет 40% урона, то награда Пси будет уменьшена на 40% от обычной.
$TIP_250_TITLE	Пси сгорает?
$TIP_260_TEXT	Знаете ли вы, что можете сделать свой собственный мод (модификацию) для игры?<N><N>Нажмите на большую кнопку 'M' в меню сохранения игры. Вы можете изменить практически все: характеристики, уровни, классы, персонажей, ролики, графику, предметы и т.д.
$TIP_260_TITLE	Поддержка модов
$TIP_270_TEXT	<N><N>Позвони своей маме, она скучает по тебе.
$TIP_270_TITLE	Не забывай о маме
$TIP_30_TEXT	<N><N>После боя, все, кто остается на поле к концу сражения получают опыт.<N><N>Остальные получают половину опыта. Получаемый персонажами опыт не зависит от их количества.<N><N>Вы можете изменить эти условия в меню Ограничения.
$TIP_30_TITLE	Кто получает опыт?
$TIP_40_TEXT	Зажмите левую кнопку мыши, чтобы перемещаться по карте, либо управляйте с клавиатуры.<N><N>По умолчанию прокрутка назначена на стрелки.
$TIP_40_TITLE	Карта мира
$TIP_50_TEXT	Отзыв защитников, обычно, возвращает лишь часть затраченных Пси.<N><N>Но если вы отзовете защитника до появления первой волны врагов, то получите назад 100% Пси.
$TIP_50_TITLE	Отзыв за 100% Пси
$TIP_60_TEXT	Если у вас появился вопрос, то присоединяйтесь к онлайн сообществу на www.defendersquest.com! <N><N>У нас есть форум, где вы можете задать вопросы, совместная вики, а также блог разработчика.
$TIP_60_TITLE	Веб-сайт и форум
$TIP_70_TEXT	Вы можете использовать клавиатуру, чтобы размещать защитников.<N><N>По умолчанию управление назначено на стрелки.
$TIP_70_TITLE	Размещение защитников
$TIP_80_TEXT	Цвета всплывающих чисел обозначают тип повреждения. Белые - обычный удар, серые - удар частично поглощен броней, красные - кровоточение, оранжевые - горение, фиолетовые - отравление и большие - критический удар. <N><N>Вы можете включить или выключить их в пункте настроек 'Разное'.
$TIP_80_TITLE	Боевые эффекты
$TIP_90_TEXT	Играя на высоких уровнях сложности, вы иногда будете получать уникальные предметы. Это мощные коллекционные вещи, их нельзя продать в магазинах.
$TIP_90_TITLE	Уникальные вещи
$TITLE_BONUS_GOODIES	Бонусные плюшки
$TITLE_BONUS_GOODIES_2	Секретики?
$TITLE_CONNECTING_KONG	Подключаемся к KONG...
$TITLE_EULA_1	Играя в эту игру
$TITLE_EULA_2	вы соглашаетесь с лицензионным соглашением.
$TITLE_FULL_GAME	ПОЛНАЯ ВЕРСИЯ
$TITLE_OPTIONS	Настройки
$TITLE_PLEASE_WAIT	<RE>$MISC_PLEASE_WAIT
$TITLE_QUIT	Выход
$TITLE_RELOAD_MOD	Перезагрузить мод
$TITLE_START	Старт
$TITLE_START_DEMO	Начать ДЕМО
$TITLE_START_GAME	Начать игру
$TITLE_UNLOAD_MOD	Отключить мод
$TOOLTIP_ADVANCED	Тяжелое испытание с достойной наградой.<N><N>Приходите, когда будете достаточно сильны.
$TOOLTIP_CASUAL	В этом режиме у врагов понижены здоровье и урон.
$TOOLTIP_CHANGE_PATH_1	Примечание:
$TOOLTIP_CHANGE_PATH_2	Ваши старые файлы не будут автоматически перенесены в новое место.<N><N>Они останутся в исходной папке.
$TOOLTIP_EXTREME	Наисложнейшее испытание с лучшей наградой.<N><N>Будьте готовы!
$TOOLTIP_NORMAL	Обычное испытание.<N><N>Большинству игроков следует начинать с него.
$TYPE_ARMOR	В доспехах
$TYPE_ATTACKER	Атакующий
$TYPE_BOSS	Босс
$TYPE_CULTIST	Сектант
$TYPE_DARK	Темный
$TYPE_EXALTED	Верховный
$TYPE_FAST	Быстрый
$TYPE_NO_END_DAMAGE	Безущербный
$TYPE_NORMAL	Обычный
$TYPE_NUKE_ON_KILL	Взрывающийся
$TYPE_REVENANT	Загробник
$TYPE_SHEEP	Овца
$TYPE_SNAIL	Улитка
$TYPE_SPITTER	Злыдень
$TYPE_SPLITTER	Лопающийся
$TYPE_STATIONARY	Неподвижный
$TYPE_TELEPORTER	Телепортирующийся
$TYPE_WATER	Водный
$TYPE_WORM	Червь
$UI_ACCEPT_NUMS	font:18,off_y:1,off_x:-3	Комментарий: размер шрифта и раскладка x/y – для меток кнопок опций меню
$UI_ACCESS_ABSENCE	ПРОПУСК
$UI_ACCESS_DEFAULT	*Настройки по умолчанию
$UI_ACCESS_FAIL	НЕУДАЧА
$UI_ACCESS_FAILURE_PENALTY	Штраф за поражение
$UI_ACCESS_FLASHING	Эффекты мерцания
$UI_ACCESS_NUMS	font:18,off_y:1,off_x:-2,show_boxes:1,absence_off_x:0,speed_off_x:0
$UI_ACCESS_PENALTIES	ШТРАФЫ
$UI_ACCESS_REWARDS	НАГРАДЫ
$UI_ACCESS_SEE_ALSO	Смотрите также:
$UI_ACCESS_SPEED	Скорость игры
$UI_ACCESS_TITLE	Ограничения
$UI_ACHIEVE_CATEGORIES	Категории
$UI_ACHIEVE_COMPLETION	Завершено
$UI_ACHIEVE_EASY	Легко
$UI_ACHIEVE_HARD	Тяжело
$UI_ACHIEVE_IMPOSSIBLE	Невозможно
$UI_ACHIEVE_MEDIUM	Нормально
$UI_ACHIEVE_POP_UP	Уведомления
$UI_ACHIEVE_TRAINER	Введение
$UI_ACHIEVEMENTS_BUTTON_NUMBERS	font:18,offy:-2
$UI_ACHIEVEMENTS_NUMS	font:18,off_y:0,pop_up_off_y:0
$UI_ACHIEVEMENTS_TITLE	Достижения
$UI_ALL_FILES	Все файлы
$UI_AUDIO_NUMS	font:18,off_y:1,off_x:-2
$UI_AUDIO_TITLE	Аудио
$UI_BACK_NUMS	font:18,off_y:1,off_x:-3
$UI_BATTLE_CASH_OUT	Хватит
$UI_BATTLE_CASH_OUT?	Хватит?
$UI_BATTLE_CASH_OUT_TEXT	Закончить битву сейчас и получить заработанные награды?
$UI_BATTLE_MORE	ЕЩЕ
$UI_BATTLE_NEXT	СЛЕД.
$UI_BATTLE_SEND_NEXT	Запуск<N>ВОЛНЫ
$UI_BATTLE_WAVE	Волна
$UI_BATTLE_WAVE_BUTT_NUMS	font_next:13,font_cash_out:11,font_next_x_off:0,font_next_y_off:-4,font_cash_out_x_off:0,font_cash_out_y_off:-1
$UI_BATTLE_WAVES	волн
$UI_BONUS_BLUE_STARS_LINE	<STAR_NUM> голубых звезд
$UI_BONUS_BONUS_LEVELS	Бонусные уровни
$UI_BONUS_GOLD_STARS_LINE	<STAR_NUM> золотых звезд
$UI_BONUS_NUMS	select_font:12,locked_font:14
$UI_BONUS_STARS_LINE	<STAR_NUM> <STAR_COLOR> звезд
$UI_CLOUD_UNKNOWN	Облачное сохранение
$UI_CLOUD_UNKNOWN_TEXT	<N>Включить облачное сохранение Steam?
$UI_CLOUD_UNKNOWN_TEXT_2	Вы можете изменить эту настройку<N>в любое время в:<N>Настройки: Разное
$UI_CONFLICT_BACKUP	Сделать резервную копию конфликтующего файла в:<N><LOC>
$UI_CONFLICT_BETTER	Кажется, это сохранение лучше
$UI_CONFLICT_BUTTON	Использовать это
$UI_CONFLICT_BUTTON_NUMS	font:13,x_off:0,y_off:-8
$UI_CONFLICT_CLOUD	ОБЛАКО
$UI_CONFLICT_LOCAL	КОМПЬЮТЕР
$UI_CONFLICT_MSG	Мы не уверены, что именно нужно поместить в слот <SLOT>.<N>Выберите тот, который хотите сохранить.
$UI_CONFLICT_NGP	Новая игра+
$UI_CONFLICT_TITLE	Конфликт облака Steam!
$UI_CONTROLS_ACCEL	Ускорение
$UI_CONTROLS_ACCEL_NUMS	font:13,off_x:12,off_y:0,text_off_x:0,text_off_y:0
$UI_CONTROLS_ACCEPT	Принять
$UI_CONTROLS_ACCEPT_SELECT	Принять/Выбрать
$UI_CONTROLS_AUTO	Автоопределение
$UI_CONTROLS_BACK	Назад
$UI_CONTROLS_BACK_NUMS	off_x:-8,off_y:-45,btn_off_x:0,btn_off_y:-5
$UI_CONTROLS_BACK_CANCEL	Назад/Отмена
$UI_CONTROLS_BOOST	Повысить
$UI_CONTROLS_BOOST_NUMS	off_x:0,off_y:-45,btn_off_x:0,btn_off_y:-5
$UI_CONTROLS_CANCEL	Отмена
$UI_CONTROLS_CHARACTER	Персонаж
$UI_CONTROLS_CLASS	Класс
$UI_CONTROLS_CLICK	Щелчок
$UI_CONTROLS_CURSOR	Курсор
$UI_CONTROLS_CYCLE	Смена<N>защитника
$UI_CONTROLS_CYCLE_NUMS	off_x:-5,off_y:0	Комментарий: передвигает текст 'cycle defenders' и соответствующие кнопки
$UI_CONTROLS_DEVICE	Устройство
$UI_CONTROLS_FAST	Быстро
$UI_CONTROLS_GAMEPAD	Джойстик
$UI_CONTROLS_GAMEPAD_ACTION_SET	Набор действий
$UI_CONTROLS_GAMEPAD_ICONS	Иконки
$UI_CONTROLS_GAMEPAD_MODEL	Модель
$UI_CONTROLS_KEYBOARD	Мышь и клавиатура
$UI_CONTROLS_LOGITECH	Logitech
$UI_CONTROLS_MENU	Меню
$UI_CONTROLS_MENU_ALT	Меню 2
$UI_CONTROLS_MINUS_PLUS_SPEED	-/+<N>скорость
$UI_CONTROLS_MINUS_SPEED	Ниже скорость
$UI_CONTROLS_MINUS_SPEED_NUMS	off_x:-20,off_y:0
$UI_CONTROLS_MOVE_CURSOR	Перемещение курсор
$UI_CONTROLS_NAVIGATE_MENU	Меню навигации
$UI_CONTROLS_NONE	Нет
$UI_CONTROLS_NORMAL	Нормально
$UI_CONTROLS_NUMS	font:18,off_y:1,off_x:-2
$UI_CONTROLS_OUYA	Ouya
$UI_CONTROLS_PAUSE	Пауза
$UI_CONTROLS_PAUSE_NUMS	off_x:-60,off_y:5,btn_off_x:0,btn_off_y:-5
$UI_CONTROLS_PLUS_SPEED	Выше скорость
$UI_CONTROLS_PLUS_SPEED_NUMS	off_x:50,off_y:0
$UI_CONTROLS_POINTER	Указатель
$UI_CONTROLS_PRESET_AZERTY	Azerty
$UI_CONTROLS_PRESET_COLEMAK	Colemak
$UI_CONTROLS_PRESET_CUSTOM	Своя
$UI_CONTROLS_PRESET_DEFAULT	По умолчанию
$UI_CONTROLS_PRESET_DVORAK	Dvorak
$UI_CONTROLS_PRESET_LEFTY	Lefty
$UI_CONTROLS_PRESET_PS	PlayStation
$UI_CONTROLS_PRESET_PSJ	Японский PlayStation
$UI_CONTROLS_PRESET_QWERTY	Qwerty
$UI_CONTROLS_PRESET_QWERTZ	Qwertz
$UI_CONTROLS_PRESET_WIIU	WiiU по умолчанию
$UI_CONTROLS_PRESET_XBOX	XBox по умолчанию
$UI_CONTROLS_PRESETS	Раскладка
$UI_CONTROLS_PS3	Playstation 3
$UI_CONTROLS_PS4	Playstation 4
$UI_CONTROLS_PSVITA	Playstation Vita
$UI_CONTROLS_RECALL	Отозвать
$UI_CONTROLS_RECALL_NUMS	off_x:-60,off_y:5,btn_off_x:0,btn_off_y:-5
$UI_CONTROLS_SCROLL	Прокрутка карты,<N>поставить защитника
$UI_CONTROLS_SEE_ALSO	Смотрите также:
$UI_CONTROLS_SELECT	Выбрать
$UI_CONTROLS_SLOW	Низко
$UI_CONTROLS_SLOWEST	Очень низко
$UI_CONTROLS_SPEED	Скорость
$UI_CONTROLS_SPEED_NUMS	font:13,off_x:-12,off_y:0,text_off_x:0,text_off_y:0
$UI_CONTROLS_SPELL	Заклинание
$UI_CONTROLS_STEAM_CONTROLLER	Контроллер Steam
$UI_CONTROLS_STEAM_CONTROLLER_CONFIG	Настроить
$UI_CONTROLS_STEAM_CONTROLLER_CONFIG_FAIL_TEXT	Невозможно открыть окно настройки. Убедитесь, что Steam находится в режиме Big Picture и работает оверлей Steam!
$UI_CONTROLS_STEAM_CONTROLLER_CONFIG_FAIL_TITLE	Ошибка Steam!
$UI_CONTROLS_TAB_NAV	Навигация<N>по кнопками
$UI_CONTROLS_TARGET	Цель
$UI_CONTROLS_TITLE	Управление
$UI_CONTROLS_VIRTUAL_MOUSE	Виртуальная мышь
$UI_CONTROLS_XBOX1	Xbox One
$UI_CONTROLS_XBOX360	Xbox 360
$UI_CONTROLS_XINPUT	Xinput
$UI_DEFENDER_BOOST	Повышение: <PSI> Пси
$UI_DEFENDER_BOOST_MAX	МАКС. ПОВЫШЕНИЕ
$UI_DEFENDER_BOOST_NEED	Повышение: <PSI> Пси
$UI_DEFENDER_BOOST_NEED_NUMS	font:11,x_off:0,y_off:-2
$UI_DEFENDER_BOOST_NUMS	font:13,x_off:0,y_off:0
$UI_DEFENDER_BOOST_UNLOCK	Открывается при уровне повышения <LVL>
$UI_DEFENDER_CLICK_TO	(Нажмите, чтобы включить/выключить)
$UI_DEFENDER_ORB_NUMS	orb_space:0
$UI_DEFENDER_RECALL	Отозвать
$UI_DEFENDER_RECALL_LINE	ОТОЗВАТЬ: +<PSI> Пси
$UI_DEFENDER_TECHNIQUE	Техника
$UI_DEFENDER_TECHNIQUES	ТЕХНИКИ
$UI_DEFENDER_TRAIT	Умение
$UI_DEFENDER_TRAITS	НАВЫКИ
$UI_DEFQ_MODS	Мод
$UI_DEMO_IMPORT_OPTIONS	Импортировать настройки из демо-версии?
$UI_DEMO_IMPORT_SAVES	Импортировать сохранение из демо?
$UI_DEMO_OPTIONS_DETECTED	Обнаружены настройки демо-версии!
$UI_DEMO_SAVES_DETECTED	Обнаружены демо сохранения!
$UI_DOWNLOAD_BODY	Нажмите кнопку, чтобы загрузить<N>автономную версию игры.<N><N>Она загрузится в новом окне/вкладке.<N>Возможна небольшая задержка, так что подождите<N>минуту и постарайтесь ничего не нажимать.
$UI_DOWNLOAD_LINUX	Linux
$UI_DOWNLOAD_MACINTOSH	Macintosh
$UI_DOWNLOAD_SOUNDTRACK	Саундтрек
$UI_DOWNLOAD_WARNING	ВЫКЛЮЧИТЕ ВАШ<N>БЛОКИРОВЩИК ВСПЛЫВАЮЩИХ ОКОН!
$UI_DOWNLOAD_WINDOWS	Windows
$UI_DQ_SAVE_FILES	DQ<X> Сохранить файлы
$UI_EQUIP_ALL_A_HEAVY	Вся тяжелая броня надета!
$UI_EQUIP_ALL_A_HEAVY_EQUIPPED	Вся тяжелая броня надета!
$UI_EQUIP_ALL_A_LIGHT	Вся легкая броня надета!
$UI_EQUIP_ALL_A_LIGHT_EQUIPPED	Вся легкая броня надета!
$UI_EQUIP_ALL_ACC_BOOK	Все книги экипированы!
$UI_EQUIP_ALL_W_BOW	Все луки экипированы!
$UI_EQUIP_ALL_W_BOW_EQUIPPED	Все луки экипированы!
$UI_EQUIP_ALL_W_STAFF	Все посохи экипированы!
$UI_EQUIP_ALL_W_STAFF_EQUIPPED	Все посохи экипированы!
$UI_EQUIP_ALL_W_SWORD	Все мечи экипированы!
$UI_EQUIP_ALL_W_SWORD_EQUIPPED	Все мечи экипированы!
$UI_EQUIP_CANT_SELL_UNIQUE	Нельзя продать уникальные вещи!
$UI_EQUIP_CANT_UPGRADE_A_HEAVY	У вас нет тяжелой брони, которую можно улучшить!
$UI_EQUIP_CANT_UPGRADE_A_LIGHT	У вас нет легкой брони, которую можно улучшить!
$UI_EQUIP_CANT_UPGRADE_W_BOW	У вас нет луков, которые можно улучшить!
$UI_EQUIP_CANT_UPGRADE_W_STAFF	У вас нет посохов, которые можно улучшить!
$UI_EQUIP_CANT_UPGRADE_W_SWORD	У вас нет мечей, которые можно улучшить!
$UI_EQUIP_CLASS_CANT_A	Этот класс не использует броню!
$UI_EQUIP_CLASS_CANT_W	Этот класс не использует оружие!
$UI_EQUIP_COMPARE	сравнить
$UI_EQUIP_EQUIP_AFTER	Надеть после покупки
$UI_EQUIP_EQUIP_WHO	Кого экипировать?
$UI_EQUIP_EQUIPPED	Носит
$UI_EQUIP_MAX_OWNED	ДОСТИГНУТ МАКСИМУМ
$UI_EQUIP_NAME	Название
$UI_EQUIP_NO_A_HEAVY	Нет тяжелой брони!
$UI_EQUIP_NO_A_HEAVY	Нет тяжелой брони!
$UI_EQUIP_NO_A_LIGHT	Нет легкой брони!
$UI_EQUIP_NO_A_LIGHT	Нет легкой брони!
$UI_EQUIP_NO_ACC_BOOK	Нет книг!
$UI_EQUIP_NO_W_BOW	Нет луков!
$UI_EQUIP_NO_W_BOW	Нет лука!
$UI_EQUIP_NO_W_STAFF	Нет посохов!
$UI_EQUIP_NO_W_STAFF	Нет посоха!
$UI_EQUIP_NO_W_SWORD	Нет мечей!
$UI_EQUIP_NO_W_SWORD	Нет меча!
$UI_EQUIP_OWNED	в наличии
$UI_EQUIP_OWNER	Носит
$UI_EQUIP_PRICE	цена
$UI_EQUIP_SELL_OLD_ARMOR_FOR	Продать старую броню?
$UI_EQUIP_SELL_OLD_WEAPON_FOR	Продать старое оружие?
$UI_EQUIP_SHOW_EQUIPPED	Показать надетое
$UI_EQUIP_SHOW_EQUIPPED	Показать надетое
$UI_EQUIP_STAT	Характеристики
$UI_EQUIP_WHO_WILL	Кого экипировать:
$UI_EULA_TITLE	ЛИЦЕНЗИОННОЕ СОГЛАШЕНИЕ
$UI_GAMEPLAY_ALWAYS	Всегда
$UI_GAMEPLAY_AUTO_UPDATE	Автообновление
$UI_GAMEPLAY_BATTLE_NUMBERS	Боевые числа
$UI_GAMEPLAY_CLOUD_SAVE	Облачные сохранения
$UI_GAMEPLAY_DEFAULT	В новых боях
$UI_GAMEPLAY_DIALOGUE	Диалог
$UI_GAMEPLAY_DISABLE_UPDATER	Отключить автообновление
$UI_GAMEPLAY_ENABLE_UPDATER	Проверять наличие обновлений при старте
$UI_GAMEPLAY_HIDE	Скрыть
$UI_GAMEPLAY_MISCELLANEOUS	Разное
$UI_GAMEPLAY_NEVER	Никогда
$UI_GAMEPLAY_OFF	Выключено
$UI_GAMEPLAY_ON	Включено
$UI_GAMEPLAY_SHOW	Показать
$UI_GAMEPLAY_SLOW_FOOTNOTE	Может замедлить игру
$UI_GAMEPLAY_TRACK_NO	Не следи за мной, бро!
$UI_GAMEPLAY_TRACK_YES	Разрешить собирать анонимную статистику игры
$UI_GAMEPLAY_TRACKING	Сбор информации
$UI_GAMEPLAY_TUTORIALS	Обучение
$UI_GRAPHICS_HD	HD
$UI_GRAPHICS_ORIGINAL	Оригинал
$UI_HIGH	Высоко
$UI_HIGH()	Высоко(<X>)
$UI_LEGACY_IMPORT_SAVES	Импортировать сохранения из старой версии Defender's Quest?
$UI_LEGACY_SAVES_DETECTED	Обнаружены старые сохранения!
$UI_LOGGING_ALWAYS	Всегда
$UI_LOGGING_ASK	Спрашивать каждый раз
$UI_LOGGING_CRASH	Сохранять отчеты о сбоях
$UI_LOGGING_CRASH_CONTENT	Приложить к отчету о сбое:
$UI_LOGGING_CRASH_OPTIONS	Настройки игры
$UI_LOGGING_CRASH_REPLAY	Записи пользователя
$UI_LOGGING_CRASH_SAVES	Файлы сохранений
$UI_LOGGING_CRASH_SCREENSHOT	Снимок экрана
$UI_LOGGING_CRASH_SYSTEM	Информация о системе
$UI_LOGGING_NEVER	Никогда
$UI_LOGGING_SEND	Отправить отчет о сбоях разработчикам
$UI_LOGGING_TITLE	Журнал событий
$UI_LOW	Низко
$UI_LOW()	Низко(<X>)
$UI_MISC_NUMS	font:18,off_y:1,off_x:-2
$UI_MISC_TITLE	Разное
$UI_MOD_ALL_FILES	Все файлы (*.*)
$UI_MOD_AUTHOR	Автор
$UI_MOD_BKGS	<PLUS>42M картинок
$UI_MOD_BROWSE_QUEUE	Мои моды
$UI_MOD_BROWSE_WORKSHOP	Мастерская Steam
$UI_MOD_CREATE_NEW	Создать новый мод
$UI_MOD_DATA_ONLY	Только данные (1M)
$UI_MOD_DEFQ_SAVE	Файлы сохранений Defender's Quest (*.dfq)
$UI_MOD_DOWNLOAD	Мод загружается
$UI_MOD_DOWNLOAD_TEXT	
$UI_MOD_EDIT	Правка
$UI_MOD_EXISTS	Найден мод.<N>Загрузить его?
$UI_MOD_EXPORT_CANCEL	Экспорт отменен!
$UI_MOD_EXPORT_CANCEL_TEXT	Файлы расположены в:
$UI_MOD_EXPORT_CHURN	Задача <TASK_PROGRESS><N><N><TASK><N><PROGRESS>
$UI_MOD_EXPORT_FAIL	Ошибка экспорта!
$UI_MOD_EXPORT_FAIL_TEXT	Произошла ошибка!
$UI_MOD_EXPORT_FINISH	Экспорт завершен!
$UI_MOD_EXPORT_FINISH_TEXT	Ваш мод расположен в:
$UI_MOD_EXPORTING	Экспорт данных
$UI_MOD_INSTALL_ERROR	Мод с таким именем уже существует.<N>Попробовать установить с суффиксом?
$UI_MOD_INSTALL_ERROR2	К сожалению, установить мод невозможно.
$UI_MOD_INSTALL_STANDALONE	Установить из ZIP
$UI_MOD_LATER	Позже
$UI_MOD_LOAD_EXISTING	Загрузить существующий мод
$UI_MOD_LOAD_FAIL	Загрузка не удалась!
$UI_MOD_LOAD_FAIL_TEXT	Ошибка при загрузке мода:
$UI_MOD_LOAD_FINISH	Загрузка завершена
$UI_MOD_LOAD_FINISH_TEXT	Мод успешно загружен.<N>Игра перезагрузится.
$UI_MOD_LOAD_MOD	Загрузить мод
$UI_MOD_LOAD_MOD_TEXT	Загрузить мод <LQ><MOD><RQ>?<N>Это перезапустит игру.
$UI_MOD_LOADING	Загрузка мода...
$UI_MOD_MISSING	Не найден settings.xml.<N>Либо тут нет мода,<N>либо он испорчен.
$UI_MOD_MISSING_SUBSCRIBE	Подписывание файлов
$UI_MOD_MISSING_SUBSCRIBE_TEXT	Хотите загрузить:<N><NUM> подписанных файлов редактора?
