flag	content	comment
$BASE_ATTACK	Base attack
$UI_EQUIP_ALL_W_BOW_EQUIPPED	All bows equipped!
$UI_EQUIP_ALL_W_STAFF	All staffs equipped!
$UI_EQUIP_ALL_W_STAFF_EQUIPPED	All staffs equipped!
$UI_EQUIP_ALL_W_SWORD	All swords equipped!
$UI_EQUIP_ALL_W_SWORD_EQUIPPED	All swords equipped!
$UI_EQUIP_CANT_SELL_UNIQUE	Can't sell unique items!
$UI_EQUIP_CANT_UPGRADE_A_HEAVY	You have no heavy armor I could improve!
$UI_EQUIP_CANT_UPGRADE_A_LIGHT	You have no light armor I could improve!
$UI_EQUIP_CANT_UPGRADE_W_BOW	You have no bows I could improve!
$UI_EQUIP_CANT_UPGRADE_W_STAFF	You have no staffs I could improve!
$UI_EQUIP_CANT_UPGRADE_W_SWORD	You have no swords I could improve!
$UI_EQUIP_CLASS_CANT_A	This class can't equip armor!
$UI_EQUIP_CLASS_CANT_W	This class can't equip weapons!
$UI_EQUIP_COMPARE	compare
$UI_EQUIP_EQUIP_AFTER	Equip after purchase
$UI_EQUIP_EQUIP_WHO	Who will equip it?
$UI_EQUIP_EQUIPPED	Equipped
$UI_EQUIP_MAX_OWNED	MAXIMUM OWNED
$UI_EQUIP_NAME	Name
$UI_EQUIP_NO_A_HEAVY	No heavy armor owned!
$UI_EQUIP_NO_A_HEAVY	No heavy armor owned!
$UI_EQUIP_NO_A_LIGHT	No light armor owned!
$UI_EQUIP_NO_A_LIGHT	No light armor owned!
$UI_EQUIP_NO_ACC_BOOK	No books owned!
$UI_EQUIP_NO_W_BOW	No bows owned!
$UI_EQUIP_NO_W_BOW	No bows owned!
$UI_EQUIP_NO_W_STAFF	No staffs owned!
$UI_EQUIP_NO_W_STAFF	No staffs owned!
$UI_EQUIP_NO_W_SWORD	No swords owned!
$UI_EQUIP_NO_W_SWORD	No swords owned!
$UI_EQUIP_OWNED	owned
$UI_EQUIP_OWNER	Owner
$UI_EQUIP_PRICE	price
$UI_EQUIP_SELL_OLD_ARMOR_FOR	Sell old armor for <SELL_PRICE> Scrap?
$UI_EQUIP_SELL_OLD_WEAPON_FOR	Sell old weapon for <SELL_PRICE> Scrap?
$UI_EQUIP_SHOW_EQUIPPED	Show Equipped
$UI_EQUIP_SHOW_EQUIPPED	Show equipped
$UI_EQUIP_STAT	Stat
$UI_EQUIP_WHO_WILL	Who will equip:
$UI_EULA_TITLE	END USER LICENSE AGREEMENT
$UI_GAMEPLAY_ALWAYS	Always
$UI_GAMEPLAY_AUTO_UPDATE	Auto-Updater
$UI_GAMEPLAY_BATTLE_NUMBERS	Battle Numbers
$UI_GAMEPLAY_CLOUD_SAVE	Cloud Saves
$UI_GAMEPLAY_DEFAULT	New Battles Only
$UI_GAMEPLAY_DIALOGUE	Dialogue
$UI_GAMEPLAY_CUTSCENES	<RE>$UI_VIDEO_CUTSCENES
$UI_GAMEPLAY_DISABLE_UPDATER	Disable auto-updater
$UI_GAMEPLAY_ENABLE_UPDATER	Check for updates when game starts
$UI_GAMEPLAY_HIDE	Hide
$UI_GAMEPLAY_MISCELLANEOUS	Miscellaneous
$UI_GAMEPLAY_NEVER	Never
$UI_GAMEPLAY_OFF	Off
$UI_GAMEPLAY_ON	On
$UI_GAMEPLAY_SHOW	Show
$UI_GAMEPLAY_SLOW_FOOTNOTE	Might slow down the game
$UI_GAMEPLAY_TRACK_NO	Don't track me, bro!
$UI_GAMEPLAY_TRACK_YES	Let us track anonymous play stats
$UI_GAMEPLAY_TRACKING	Data Tracking
$UI_GAMEPLAY_TUTORIALS	Tutorials
$UI_GRAPHICS_HD	HD
$UI_GRAPHICS_ORIGINAL	Original
$UI_HIGH	High
$UI_HIGH()	High(<X>)
$UI_LEGACY_IMPORT_SAVES	Import saves from old version of Defender's Quest?
$UI_LEGACY_SAVES_DETECTED	Legacy Saves Detected!
$UI_LOGGING_ALWAYS	Always
$UI_LOGGING_ASK	Ask each time
$UI_LOGGING_CRASH	Record crash logs
$UI_LOGGING_CRASH_CONTENT	Include with crash log:
$UI_LOGGING_CRASH_OPTIONS	Game settings
$UI_LOGGING_CRASH_REPLAY	User input records
$UI_LOGGING_CRASH_SAVES	Save files
$UI_LOGGING_CRASH_SCREENSHOT	Screenshot
$UI_LOGGING_CRASH_SYSTEM	System specs
$UI_LOGGING_NEVER	Never
$UI_LOGGING_SEND	Send crash logs to developer
$UI_LOGGING_TITLE	Logging
$UI_LEGAL_TITLE	Legal
$UI_LOW	Low
$UI_LOW()	Low(<X>)
$UI_MISC_NUMS	font:18,off_y:1,off_x:-2
$UI_MISC_TITLE	Miscellaneous
$UI_MOD_ALL_FILES	All Files (*.*)
$UI_MOD_AUTHOR	Author
$UI_MOD_BKGS	<PLUS>42M of Bkg art
$UI_MOD_BROWSE_QUEUE	My Mods
$UI_MOD_BROWSE_WORKSHOP	Steam Workshop
$UI_MOD_CREATE_NEW	Create new Mod
$UI_MOD_DATA_ONLY	Data Only (1M)
$UI_MOD_DEFQ_SAVE	Defender's Quest Save Files (*.dfq)
$UI_MOD_DOWNLOAD	Downloading Mod
$UI_MOD_DOWNLOAD_TEXT	
$UI_MOD_EDIT	Edit
$UI_MOD_EXISTS	Mod exists.<N>Load it?
$UI_MOD_EXPORT_CANCEL	Export Cancelled!
$UI_MOD_EXPORT_CANCEL_TEXT	Files are located at:
$UI_MOD_EXPORT_CHURN	Task <TASK_PROGRESS><N><N><TASK><N><PROGRESS>
$UI_MOD_EXPORT_FAIL	Export Failed!
$UI_MOD_EXPORT_FAIL_TEXT	There was an error!
$UI_MOD_EXPORT_FINISH	Export Complete!
$UI_MOD_EXPORT_FINISH_TEXT	Your mod is located at:
$UI_MOD_EXPORTING	Exporting Data
$UI_MOD_INSTALL_ERROR	That mod folder name exists.<N>Try installing with a suffix?
$UI_MOD_INSTALL_ERROR2	Sorry, we couldn't install the Mod.
$UI_MOD_INSTALL_STANDALONE	Install from ZIP
$UI_MOD_LATER	Later
$UI_MOD_LOAD_EXISTING	Load existing Mod
$UI_MOD_LOAD_FAIL	Loading Failed!
$UI_MOD_LOAD_FAIL_TEXT	Error loading mod:
$UI_MOD_LOAD_FINISH	Loading Complete
$UI_MOD_LOAD_FINISH_TEXT	Mod loaded successfully.<N>Game will now Restart.
$UI_MOD_LOAD_MOD	Load Mod
$UI_MOD_LOAD_MOD_TEXT	Load mod <LQ><MOD><RQ>?<N>This will restart the game.
$UI_MOD_LOADING	Loading Mod...
$UI_MOD_MISSING	Couldn't find settings.xml.<N>Either there's no mod there,<N>or it's broken.
$UI_MOD_MISSING_SUBSCRIBE	Subscribed Files
$UI_MOD_MISSING_SUBSCRIBE_TEXT	Would you like to download:<N><NUM> subscribed workshop file(s)?
$UI_MOD_MOD_INCOMPAT_TEXT	<N>File is from a different mod,<N>it might be incompatible.<N><N>Try importing anyway?
$UI_MOD_MOVIES	<PLUS>13M of Movie art
$UI_MOD_NAME	Enter a Name for this Mod
$UI_MOD_NORM_INCOMPAT_TEXT	<N>A mod is active, but that<N>file is from the normal game,<N>it might be incompatibile.<N><N>Try importing anyway?
$UI_MOD_NOT_DIR	Whoa!<N>That's not even a directory!<N>Try Again.
$UI_MOD_PATH	Mod Files Path...
$UI_MOD_PLAY	Play
$UI_MOD_PLEASE_WAIT	Please Wait While<N>We Load Your Mod
$UI_MOD_PROGRESS	Task <TASK><N>File <FILE><N>
$UI_MOD_SELECT_DIR	Select Mod Directory
$UI_MOD_SHARE	Share
$UI_MOD_SHARE_TEXT_LOCAL	This will package your mod into a single file for easy distribution.
$UI_MOD_SHARE_TEXT_STEAM	This will package and upload your mod to Steam Workshop.
$UI_MOD_SHARE_TITLE	Share Mod
$UI_MOD_SHARED	Shared
$UI_MOD_SPRITES	<PLUS>4M of Sprites
$UI_MOD_STEAM_SEND	Sending to Steam
$UI_MOD_STEAM_UPLOAD	Uploading to Steam...
$UI_MOD_STEAM_WAIT	Waiting for response from Steam...<N>(Might be a short wait)
$UI_MOD_SUBSCRIBED	Subscribed
$UI_MOD_TEMPLATE_SETTINGS	Mod Template Settings
$UI_MOD_TITLE	Modifications
$UI_MOD_TITLE	Modifications
$UI_MOD_UPDATE	Update
$UI_MOD_UPDATE_STEAM_FINISH	Update Complete
$UI_MOD_UPDATE_STEAM_FINISH_TEXT	Mod successfully updated on<N>Steam Workshop
$UI_MOD_UPDATE_TEXT_STEAM	This will update your mod on Steam Workshop.
$UI_MOD_WEB_BROWSER	Web Browser
$UI_MOD_WORKSHOP	Workshop
$UI_MOD_ZIP_FAIL	Packaging Failed!
$UI_MOD_ZIP_FAIL_TEXT	There was an error while zipping the files.
$UI_MOD_ZIP_FILES	Zip Files (*.*)
$UI_MOD_ZIP_FINISH	Packaging Complete
$UI_MOD_ZIP_FINISH_TEXT	Mod zipped successfully.
$UI_MOD_ZIP_PROGRESS	Task <TASK><N>File <FILE><N>
$UI_MOD_ZIP_STEAM_FAIL	Upload Failed!
$UI_MOD_ZIP_STEAM_FAIL_TEXT	Could not upload the mod to<N>Steam Workshop.
$UI_MOD_ZIP_STEAM_FINISH	Upload Complete
$UI_MOD_ZIP_STEAM_FINISH_TEXT	Mod successfully uploaded to<N>Steam Workshop
$UI_MOD_ZIPPING	Packaging Mod Files
$UI_MOVIE_END	end
$UI_MOVIE_QUEST	quest
$UI_MOVIE_SCENE	scene
$UI_MOVIE_SELECT_A_MOVIE	Select a Movie
$UI_MUSIC	Music:
$UI_NORM_MOD_INCOMPAT_TEXT	<N>File is from a mod,<N>it might be incompatibile.<N><N>Try importing anyway?
$UI_OPTIONS_MENU	Options Menu
$UI_OPTIONS_NUMS	font:18,off_y:1,off_x:-2
$UI_OPTIONS_SPEED	Game Speed
$UI_OPTIONS_TITLE	Options
$UI_QUIT_NUMS	font:18,off_y:1,off_x:-2
$UI_RECRUIT_BERSERKER_NUMS	font:14,x_off:0,y_off:0
$UI_RECRUIT_CLASS_FULL	CLASS IS FULL
$UI_RECRUIT_DRAGON_NUMS	font:14,x_off:0,y_off:0
$UI_RECRUIT_HEALER_NUMS	font:14,x_off:0,y_off:0
$UI_RECRUIT_KNIGHT_NUMS	font:14,x_off:0,y_off:0
$UI_RECRUIT_MAGE_NUMS	font:14,x_off:0,y_off:0
$UI_RECRUIT_RANGER_NUMS	font:14,x_off:0,y_off:0
$UI_RESOLUTION_CHOICES	Available:
$UI_RESOLUTION_CURRENT	Current:
$UI_RESOLUTION_CURRENT_PARENTHESES	(Current)
$UI_RESOLUTION_TITLE	Monitor Resolution
$UI_RESTART_NUMS	font:18,off_y:1,off_x:-2
$UI_SAVE_CONFIRM_DELETE	Confirm Delete?
$UI_SAVE_CONFIRM_DELETE_TEXT	PERMANENTLY erase this<N>save slot?
$UI_SAVE_DEMO_ATTENTION	Attention!
$UI_SAVE_DEMO_IMPORT	Demo Import
$UI_SAVE_DEMO_IMPORT_TEXT	That file is from the DEMO. Some adjustments might be made.<N>Is that cool?
$UI_SAVE_DEMO_NEWER	File is from NEWER version of game,<N>it might be incompatibile.<N>Try importing anyway?
$UI_SAVE_DEMO_OLDER	File is from OLDER version of game<N>some adjustments might be made.<N>Is that cool?
$UI_SAVE_ERROR_INCOMPAT	Incompatible!
$UI_SAVE_ERROR_INCOMPAT_TEXT	Error! You're playing the DEMO<N>and that file is from the FULL version
$UI_SAVE_MENU_CHECK_GOG	Check GOG for free updates!
$UI_SAVE_MENU_DOWNLOAD	Get downloadable version
$UI_SAVE_MENU_FULL_VERSION	Full Version
$UI_SAVE_MENU_KONG_DEMO	<RE>$MISC_DEMO_VERSION
$UI_SAVE_MENU_KONG_DEMO_LOGIN_FULL	Demo - Log in to kongregate to access the full game!
$UI_SAVE_MENU_KONG_DEMO_LOGIN_XDEMO	Demo - Log in to kongregate to access extended content!
$UI_SAVE_MENU_KONG_XDEMO	Extended Demo Version
$UI_SAVE_MENU_KONG_XDEMO_LOGIN	Extended Demo - Log in to kongregate to access the full game!
$UI_SAVE_MENU_LOADED	Loading Complete!
$UI_SAVE_PATH	Save Files Path...
$UI_SAVE_SELECT_DIR	Select Save Directory
$UI_SELECT_A_FILE_TEXT	Please select a save file to import
$UI_SELECT_A_FILE_TITLE	Select a file please!
$UI_SFX	SFX:
$UI_SKILLS_CLICK_TO_UPGRADE	Click to Upgrade.
$UI_SKILLS_MAX	MAXIMUM
$UI_SKILLS_MOUSE_OVER	Mouse-over to inspect.
$UI_SKILLS_NO_LEARN_SPELL	You haven't learned<N>this spell yet.
$UI_SKILLS_NO_POINTS	No points.
$UI_SKILLS_REQ_1PT	REQUIRES: Char. LVL <LVL>,<N><PT> point in <SKILL>
$UI_SKILLS_REQ_XPT	REQUIRES: Char. LVL <LVL>,<N><PT> points in <SKILL>
$UI_TIPS_TITLE	Tips & Tricks
$UI_UPDATER_ASK_DOWNLOAD	Download the update?
$UI_UPDATER_CANCEL	<RE>$MISC_CANCEL
$UI_UPDATER_CHECKING	Checking for updates...
$UI_UPDATER_CHECKSUM	Calculating checksum...
$UI_UPDATER_CHECKSUM_MISMATCH	The file's checksum didn't match what we expected.<N><N>Possible causes are an incomplete download (likely), a security problem (unlikely), or cosmic rays (you never know!).<N><N>Either way, the update failed.
$UI_UPDATER_CLOSE_WINDOW	You must close this window before installing the update.
$UI_UPDATER_CONNECT_AGAIN	Connecting Again
$UI_UPDATER_CONNECTING	Connecting to server...
$UI_UPDATER_CURRENT_VERSION	Current Version:<T>
$UI_UPDATER_DEB	DEB package
$UI_UPDATER_DETAILS	Details:
$UI_UPDATER_DOWNLOADED	Update Downloaded!
$UI_UPDATER_DOWNLOADING_FILE	Downloading update file...
$UI_UPDATER_DOWNLOADING_SIG	Downloading update signature...
$UI_UPDATER_ERROR!	ERROR!
$UI_UPDATER_EXITING	Exiting Application...
$UI_UPDATER_FILE_IS_AT	Your update file is located at:
$UI_UPDATER_GIVE_UP	Give Up
$UI_UPDATER_IF_NO_WINDOW	If a navigation folder does not open, try going there manually.
$UI_UPDATER_INSTALLING	Installing Update...
$UI_UPDATER_NAVIGATE_NOW	Navigate to file now?
$UI_UPDATER_NAVIGATING	Navigating to file...
$UI_UPDATER_NEWEST_VERSION	Newest   Version:<T>
$UI_UPDATER_NO_BIG_DEAL	This isn't a big deal, you can still play the game, you just can't reach the update server right now.
$UI_UPDATER_NO_DOWNLOAD	Couldn't download update file.
$UI_UPDATER_NO_INFO	Couldn't find update info on server.
$UI_UPDATER_NO_UPDATES	No updates are available
$UI_UPDATER_NO_VERIFY	Couldn't verify update file.
$UI_UPDATER_NOTE	Note:
$UI_UPDATER_PLEASE_WAIT	<RE>$MISC_PLEASE_WAIT
$UI_UPDATER_RPM	RPM package
$UI_UPDATER_SECURED_WITH	This update mechanism is secured with HTTPS,<N>as well as public key fingerprint verification.
$UI_UPDATER_SECURITY	For security reasons, you must run the downloaded installer manually.<N><N>This program will navigate to your file's download location.
$UI_UPDATER_SERVER_TIMEOUT	Server Timeout!
$UI_UPDATER_TARGZ	TAR.GZ archive
$UI_UPDATER_TRY_AGAIN	Try Again
$UI_UPDATER_TRYING_30	Trying for 30 seconds
$UI_UPDATER_UPDATE_EXISTS	Updated version available!
$UI_VIDEO_AOE	Hilight area attacks
$UI_VIDEO_BIT_DEPTH	Depth
$UI_VIDEO_CAN_SLOW_GAME	(Can slow game)
$UI_VIDEO_CHANGE_RES	Change Resolution
$UI_VIDEO_CHANGE_RES_BUTTON	Change it!
$UI_VIDEO_CHANGE_RES_TO	Change Resolution to <X>
$UI_VIDEO_CUTSCENES	Cutscenes
$UI_VIDEO_FULLSCREEN	Fullscreen
$UI_VIDEO_GRAPHICS	Graphics
$UI_VIDEO_HD	Wide (16:9)
$UI_VIDEO_IF_DOESNT_WORK	If the new resolution doesn't work,<N>it will revert after a few seconds.
$UI_VIDEO_MATCH_MONITOR	Match Fullscreen
$UI_VIDEO_MODE	Mode
$UI_VIDEO_MOUSE	Mouse Cursor
$UI_VIDEO_MOUSE_DEFAULT	Default
$UI_VIDEO_MOUSE_FANCY	Fancy
$UI_VIDEO_NUMS	font:18,off_y:1,off_x:-2
$UI_VIDEO_PARTICLES	Particles
$UI_VIDEO_PIXELS	Pixels
$UI_VIDEO_RECOMMENDED	Recommended:
$UI_VIDEO_REFRESH	Refresh
$UI_VIDEO_RES_CHANGED	Resolution changed.<N>Do you like it?<N><N>Reverting in <TIME> seconds
$UI_VIDEO_RESOLUTION	Fullscreen Monitor Resolution
$UI_VIDEO_SCALE	Scale
$UI_VIDEO_SCREEN_POS	Screen Position
$UI_VIDEO_SCREEN_SIZE	Game Window Size
$UI_VIDEO_SD	Standard (4:3)
$UI_VIDEO_SELECT_NEW	Select New...
$UI_VIDEO_SETTINGS	Video Settings
$UI_VIDEO_SHOW_ALL_RES	Show All Resolutions
$UI_VIDEO_SPRITES	Sprites
$UI_VIDEO_STANDARD_RATIO	(Standard ratio)
$UI_VIDEO_SWIRL	Pre-Battle Animation
$UI_VIDEO_TITLE	Video
$UI_VIDEO_WARNING	Video options disabled in browser mode.
$UI_VIDEO_WARNING2	Your system configuration does not support in-game resolution switching, unfortunately :(
$UI_VIDEO_WARNING3	In COMPATIBILITY MODE, resolution switching is disabled.<N><N>Sorry about that!
$UI_VIDEO_WIDESCREEN	(Widescreen)
$UI_VIDEO_WINDOWED	Windowed
$WEAK_DMG_MULT	<PLUS><PERCENT>% extra DMG from <FLAVOR>
$YOU_GOT	You got
$YOU_GOT_JOIN	<NAME> the <CLASS><N>joined the party!
$YOU_GOT_MONEY	You got <MONEY> scrap!
$YOU_GOT_NEW_GAME_PLUS_TEXT	Congratulations! You can now start a new adventure with your old party!<N><N>Face mutant enemies with new abilities, infuse your equipment with amazing new powers, and stock your library with many new books. Engage in numerous new side-quests with additional cutscenes and story, unlock developer commentary, translate Eztli-Tenoch's speech, meet new characters, and so much more!<N><N><RE>[$NEW_GAME_PLUS_NOTE]<N><N>You can return to your <LQ>regular<RQ> game at any time.
$YOU_GOT_NEW_GAME_PLUS_TITLE	New Game+ Unlocked!
$YOU_GOT_NO_EQUIP	This item cannot be equipped.
$YOU_GOT_NO_EQUIP_YET	No one in your party can equip <THING> yet.<N>Don't worry, just keep playing and new characters will show up who can.
$YOU_GOT_X	<NUM>x <THING>!
$GAMEPAD_TEMP_SPACER	,,,,
$GAMEPAD_BUTTON_SPACER	
$ACTIONS_MENUCONTROLS	Menu
$ACTIONS_MENUCONTROLSWITHANALOG	Menu
$ACTIONS_CUTSCENECONTROLS	Cutscene
$ACTIONS_BATTLECONTROLS	Battle
$ACTIONS_MAPCONTROLS	Overworld Map
$ACTIONS_MENU_MENU	Menu
$ACTIONS_MENU_SELECT	Select
$ACTIONS_MENU_CANCEL	Cancel
$ACTIONS_MENU_THING_1	Choice 1
$ACTIONS_MENU_THING_2	Choice 2
$ACTIONS_MENU_THING_3	Choice 3
$ACTIONS_MENU_MOVE	Move Cursor
$GAMEPAD_A	A button
$GAMEPAD_B	B button
$GAMEPAD_X	X button
$GAMEPAD_Y	Y button
$GAMEPAD_BACK	Back button
$GAMEPAD_START	Start button
$GAMEPAD_LEFT_SHOULDER	Left shoulder button
$GAMEPAD_RIGHT_SHOULDER	Right shoulder button
$GAMEPAD_LEFT_TRIGGER	Left analog trigger
$GAMEPAD_RIGHT_TRIGGER	Right analog trigger
$GAMEPAD_DPAD	Directional pad
$GAMEPAD_DPAD_UP	Directional pad up
$GAMEPAD_DPAD_DOWN	Directional pad down
$GAMEPAD_DPAD_LEFT	Directional pad left
$GAMEPAD_DPAD_RIGHT	Directional pad right
$GAMEPAD_LEFT_ANALOG_STICK	Left-hand analog stick
$GAMEPAD_LEFT_ANALOG_STICK_X_MINUS	Left-hand analog stick, pointing LEFT
$GAMEPAD_LEFT_ANALOG_STICK_X_PLUS	Left-hand analog stick, pointing RIGHT
$GAMEPAD_LEFT_ANALOG_STICK_Y_MINUS	Left-hand analog stick, pointing UP
$GAMEPAD_LEFT_ANALOG_STICK_Y_PLUS	Left-hand analog stick, pointing DOWN
$GAMEPAD_RIGHT_ANALOG_STICK	Right-hand analog stick
$GAMEPAD_RIGHT_ANALOG_STICK_X_MINUS	Right-hand analog stick, pointing LEFT
$GAMEPAD_RIGHT_ANALOG_STICK_X_PLUS	Right-hand analog stick, pointing RIGHT
$GAMEPAD_RIGHT_ANALOG_STICK_Y_MINUS	Right-hand analog stick, pointing UP
$GAMEPAD_RIGHT_ANALOG_STICK_Y_PLUS	Right-hand analog stick, pointing DOWN
$GAMEPAD_LEFT_STICK_CLICK	Left-hand analog stick, CLICKED in
$GAMEPAD_RIGHT_STICK_CLICK	Right-hand analog stick, CLICKED in
$GAMEPAD_EMPTY	Nothing
$XBOX360_A	<RE>$GAMEPAD_A
$XBOX360_B	<RE>$GAMEPAD_B
$XBOX360_X	<RE>$GAMEPAD_X
$XBOX360_Y	<RE>$GAMEPAD_Y
$XBOX360_BACK	<RE>$GAMEPAD_BACK
$XBOX360_START	<RE>$GAMEPAD_START
$XBOX360_LEFT_SHOULDER	<RE>$GAMEPAD_LEFT_SHOULDER
$XBOX360_RIGHT_SHOULDER	<RE>$GAMEPAD_RIGHT_SHOULDER
$XBOX360_LEFT_TRIGGER	<RE>$GAMEPAD_LEFT_TRIGGER
$XBOX360_RIGHT_TRIGGER	<RE>$GAMEPAD_RIGHT_TRIGGER
$XBOX360_DPAD	<RE>$GAMEPAD_DPAD
$XBOX360_DPAD_UP	<RE>$GAMEPAD_DPAD_UP
$XBOX360_DPAD_DOWN	<RE>$GAMEPAD_DPAD_DOWN
$XBOX360_DPAD_LEFT	<RE>$GAMEPAD_DPAD_LEFT
$XBOX360_DPAD_RIGHT	<RE>$GAMEPAD_DPAD_RIGHT
$XBOX360_LEFT_ANALOG_STICK	<RE>$GAMEPAD_LEFT_ANALOG_STICK
$XBOX360_LEFT_ANALOG_STICK_X_MINUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_X_MINUS
$XBOX360_LEFT_ANALOG_STICK_X_PLUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_X_PLUS
$XBOX360_LEFT_ANALOG_STICK_Y_MINUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_Y_MINUS
$XBOX360_LEFT_ANALOG_STICK_Y_PLUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_Y_PLUS
$XBOX360_RIGHT_ANALOG_STICK	<RE>$GAMEPAD_RIGHT_ANALOG_STICK
$XBOX360_RIGHT_ANALOG_STICK_X_MINUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_X_MINUS
$XBOX360_RIGHT_ANALOG_STICK_X_PLUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_X_PLUS
$XBOX360_RIGHT_ANALOG_STICK_Y_MINUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_Y_MINUS
$XBOX360_RIGHT_ANALOG_STICK_Y_PLUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_Y_PLUS
$XBOX360_LEFT_STICK_CLICK	<RE>$GAMEPAD_LEFT_STICK_CLICK
$XBOX360_RIGHT_STICK_CLICK	<RE>$GAMEPAD_RIGHT_STICK_CLICK
$XBOX360_EMPTY	<RE>$GAMEPAD_EMPTY
$XBOXONE_A	A button
$XBOXONE_B	B button
$XBOXONE_X	X button
$XBOXONE_Y	Y button
$XBOXONE_BACK	View button
$XBOXONE_START	Menu button
$XBOXONE_LEFT_SHOULDER	Left bumper
$XBOXONE_RIGHT_SHOULDER	Right bumper
$XBOXONE_LEFT_TRIGGER	Left trigger
$XBOXONE_RIGHT_TRIGGER	Right trigger
$XBOXONE_DPAD	D-pad
$XBOXONE_DPAD_UP	D-pad up
$XBOXONE_DPAD_DOWN	D-pad down
$XBOXONE_DPAD_LEFT	D-pad left
$XBOXONE_DPAD_RIGHT	D-pad right
$XBOXONE_LEFT_ANALOG_STICK	Left stick
$XBOXONE_LEFT_ANALOG_STICK_X_MINUS	Left stick, pointing LEFT
$XBOXONE_LEFT_ANALOG_STICK_X_PLUS	Left stick, pointing RIGHT
$XBOXONE_LEFT_ANALOG_STICK_Y_MINUS	Left stick, pointing UP
$XBOXONE_LEFT_ANALOG_STICK_Y_PLUS	Left stick, pointing DOWN
$XBOXONE_RIGHT_ANALOG_STICK	Right stick
$XBOXONE_RIGHT_ANALOG_STICK_X_MINUS	Right stick, pointing LEFT
$XBOXONE_RIGHT_ANALOG_STICK_X_PLUS	Right stick, pointing RIGHT
$XBOXONE_RIGHT_ANALOG_STICK_Y_MINUS	Right stick, pointing UP
$XBOXONE_RIGHT_ANALOG_STICK_Y_PLUS	Right stick, pointing DOWN
$XBOXONE_LEFT_STICK_CLICK	Left stick, CLICKED in
$XBOXONE_RIGHT_STICK_CLICK	Right stick, CLICKED in
$XBOXONE_EMPTY	<RE>$GAMEPAD_EMPTY
$PS4_A	Cross button
$PS4_B	Circle button
$PS4_X	Square button
$PS4_Y	Triangle button
$PS4_BACK	SHARE button
$PS4_BACK_PS4	Touch pad button
$PS4_START	OPTIONS button
$PS4_LEFT_SHOULDER	L1 button
$PS4_RIGHT_SHOULDER	R1 button
$PS4_LEFT_TRIGGER	L2 button
$PS4_RIGHT_TRIGGER	R2 button
$PS4_DPAD	Directional buttons
$PS4_DPAD_UP	Up button
$PS4_DPAD_DOWN	Down button
$PS4_DPAD_LEFT	Left button
$PS4_DPAD_RIGHT	Right button
$PS4_LEFT_ANALOG_STICK	Left stick
$PS4_LEFT_ANALOG_STICK_X_MINUS	Left stick, pointing LEFT
$PS4_LEFT_ANALOG_STICK_X_PLUS	Left stick, pointing RIGHT
$PS4_LEFT_ANALOG_STICK_Y_MINUS	Left stick, pointing UP
$PS4_LEFT_ANALOG_STICK_Y_PLUS	Left stick, pointing DOWN
$PS4_LEFT_STICK_CLICK	L3 Button
$PS4_RIGHT_ANALOG_STICK	Right stick
$PS4_RIGHT_ANALOG_STICK_X_MINUS	Right stick, pointing LEFT
$PS4_RIGHT_ANALOG_STICK_X_PLUS	Right stick, pointing RIGHT
$PS4_RIGHT_ANALOG_STICK_Y_MINUS	Right stick, pointing UP
$PS4_RIGHT_ANALOG_STICK_Y_PLUS	Right stick, pointing DOWN
$PS4_RIGHT_STICK_CLICK	R3 Button
$PS4_EMPTY	<RE>$GAMEPAD_EMPTY
$PS3_A	<RE>$PS4_A
$PS3_B	<RE>$PS4_B
$PS3_X	<RE>$PS4_X
$PS3_Y	<RE>$PS4_Y
$PS3_BACK	Select button
$PS3_START	<RE>$GAMEPAD_START
$PS3_LEFT_SHOULDER	<RE>$PS4_LEFT_SHOULDER
$PS3_RIGHT_SHOULDER	<RE>$PS4_RIGHT_SHOULDER
$PS3_LEFT_TRIGGER	<RE>$PS4_LEFT_TRIGGER
$PS3_RIGHT_TRIGGER	<RE>$PS4_RIGHT_TRIGGER
$PS3_DPAD	<RE>$PS4_DPAD
$PS3_DPAD_UP	<RE>$PS4_DPAD_UP
$PS3_DPAD_DOWN	<RE>$PS4_DPAD_DOWN
$PS3_DPAD_LEFT	<RE>$PS4_DPAD_LEFT
$PS3_DPAD_RIGHT	<RE>$PS4_DPAD_RIGHT
$PS3_LEFT_ANALOG_STICK	<RE>$PS4_LEFT_ANALOG_STICK
$PS3_LEFT_ANALOG_STICK_X_MINUS	<RE>$PS4_LEFT_ANALOG_STICK_X_MINUS
$PS3_LEFT_ANALOG_STICK_X_PLUS	<RE>$PS4_LEFT_ANALOG_STICK_X_PLUS
$PS3_LEFT_ANALOG_STICK_Y_MINUS	<RE>$PS4_LEFT_ANALOG_STICK_Y_MINUS
$PS3_LEFT_ANALOG_STICK_Y_PLUS	<RE>$PS4_LEFT_ANALOG_STICK_Y_PLUS
